Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop,Crop_ID,Data_Type
91.0,94.0,46.0,29.36792366,76.24900101,6.149934034,92.82840911,Banana,BANANA,Original
105.0,95.0,50.0,27.33368994,83.67675197,5.849076099,101.0494791,Banana,BANANA,Original
108.0,92.0,53.0,27.40053601,82.96221306,6.276800323,104.9378,Banana,BANANA,Original
86.0,76.0,54.0,29.3159075,80.11585705,5.926824754,90.10978128,Banana,BANANA,Original
80.0,77.0,49.0,26.05433004,79.39654531,5.519088423,113.2297373,Banana,BANANA,Original
93.0,94.0,53.0,25.86632408,84.42379269,6.079178788,114.5357503,Banana,BANANA,Original
90.0,92.0,55.0,27.00932084,80.18546798,6.13465588,97.32531705,Banana,BANANA,Original
108.0,89.0,53.0,29.55054817,78.06762846,5.808497604,99.34482238,Banana,BANANA,Original
108.0,88.0,55.0,26.28845991,83.390039,5.891458107,113.8729798,Banana,BANANA,Original
105.0,77.0,52.0,29.16226551,76.16151562,5.816622479,100.0075679,Banana,BANANA,Original
118.0,88.0,52.0,28.65003945,82.68752542,5.843163161,98.75084366,Banana,BANANA,Original
101.0,87.0,54.0,29.07311132,76.50045221,6.376756633,100.1692639,Banana,BANANA,Original
95.0,75.0,50.0,28.08166093,75.26429821,5.623615687,118.2761894,Banana,BANANA,Original
106.0,85.0,53.0,27.1994597,78.8086068,5.91505509,99.72430835,Banana,BANANA,Original
86.0,95.0,49.0,28.05484146,78.04602887,6.458714879,108.3957179,Banana,BANANA,Original
83.0,79.0,55.0,25.14748006,83.34688193,5.565028635,98.66679427,Banana,BANANA,Original
85.0,95.0,47.0,25.94019018,78.3422098,6.211833161,119.84797,Banana,BANANA,Original
109.0,79.0,45.0,27.66752761,79.68542782,6.490074429,108.66464,Banana,BANANA,Original
100.0,76.0,45.0,25.56703012,75.94067692,5.590236025,102.7867717,Banana,BANANA,Original
117.0,86.0,48.0,28.6956201,82.54195839,6.225225239,116.1616839,Banana,BANANA,Original
114.0,94.0,53.0,26.33544853,76.8532006,6.190757459,118.6858263,Banana,BANANA,Original
110.0,78.0,50.0,25.93730186,78.89864446,5.915568968,98.21747528,Banana,BANANA,Original
94.0,70.0,48.0,25.13686519,84.88394407,6.195152442,91.46442491,Banana,BANANA,Original
80.0,71.0,47.0,27.50527651,80.79783998,6.156373499,105.0776992,Banana,BANANA,Original
114.0,79.0,51.0,26.21009246,82.34429458,6.313197204,112.0700033,Banana,BANANA,Original
88.0,78.0,45.0,29.10403455,79.19588629,6.324270089,92.07835761,Banana,BANANA,Original
112.0,73.0,48.0,29.2440638,77.32017166,5.707488987,90.66727868,Banana,BANANA,Original
117.0,76.0,47.0,25.56202173,77.38229006,6.119216009,93.10247183,Banana,BANANA,Original
111.0,87.0,48.0,26.3985515,81.36028902,5.571401169,98.16752001,Banana,BANANA,Original
89.0,83.0,47.0,28.09577643,77.79586769,5.63127166,109.5408614,Banana,BANANA,Original
93.0,91.0,47.0,27.84767901,83.31110751,6.101241579,117.2878912,Banana,BANANA,Original
92.0,81.0,52.0,27.39341554,81.4654833,6.438137279,94.31102057,Banana,BANANA,Original
105.0,74.0,45.0,25.14517635,81.38204104,6.098369122,119.218154,Banana,BANANA,Original
102.0,71.0,48.0,28.65456263,79.28693687,5.695267822,102.4633775,Banana,BANANA,Original
94.0,91.0,51.0,29.16093424,76.67484233,5.618094446,109.575944,Banana,BANANA,Original
116.0,71.0,47.0,27.57278064,82.0638878,6.435785799,91.34276507,Banana,BANANA,Original
117.0,79.0,49.0,25.40909896,82.36208097,6.176644228,112.9794804,Banana,BANANA,Original
119.0,72.0,55.0,25.99069521,83.33983116,6.220643671,112.0777152,Banana,BANANA,Original
99.0,73.0,53.0,26.29039046,81.06003778,5.871702211,118.6730366,Banana,BANANA,Original
91.0,84.0,52.0,29.14827211,78.71024836,6.390741836,117.536781,Banana,BANANA,Original
80.0,90.0,47.0,26.59743595,79.35898915,6.21084479,107.3944717,Banana,BANANA,Original
101.0,70.0,48.0,25.36059237,75.03193255,6.012696655,116.5531455,Banana,BANANA,Original
108.0,89.0,53.0,29.12036889,80.18080728,5.908770059,112.3982055,Banana,BANANA,Original
100.0,80.0,52.0,27.53911354,77.25629897,6.049801781,110.3262123,Banana,BANANA,Original
109.0,91.0,53.0,29.66727337,83.51014178,6.010095853,110.2511102,Banana,BANANA,Original
82.0,78.0,46.0,25.05802193,84.97323747,5.738678895,110.4408803,Banana,BANANA,Original
106.0,70.0,55.0,25.86824781,78.52399914,5.74055541,116.3019555,Banana,BANANA,Original
90.0,86.0,52.0,25.85036988,81.95580471,5.793260262,119.0856171,Banana,BANANA,Original
83.0,95.0,50.0,26.51682337,77.79913575,5.50947065,108.8547508,Banana,BANANA,Original
