Crop,Soil_Type,Crop_Growth_Stage,Irrigation_Method,Water_Availability,Soil_Moisture_pct,Temperature_C,Relative_Humidity_pct,Rainfall_24h_mm,Rainfall_7d_mm,ETo_mm_day,Land_Area_ha,Irrigation_Need,Irrigation_Amount_mm_day,Crop_ID,Data_Type
Wheat,Sandy Loam,Grain Filling,Rainfed,Medium,53.49,29.5,49.92,6.37,73.75,2.85,5.84,Low,2.74,WHEAT,Synthetic
Tomato,Sandy Loam,Vegetative,Rainfed,Medium,34.95,40.26,47.6,2.5,101.53,7.15,3.44,High,10.29,TOMATO,Synthetic
Groundnut,Clay Loam,Vegetative,Rainfed,Medium,30.21,28.73,83.14,8.68,106.41,2.44,0.43,Low,3.69,GROUNDNUT,Synthetic
Groundnut,Loamy,Vegetative,Rainfed,High,68.61,24.21,64.61,4.12,147.14,3.12,0.82,Low,1.89,GROUNDNUT,Synthetic
Banana,Sandy Loam,Vegetative,Drip,Medium,71.0,24.74,78.23,9.65,21.82,2.14,1.04,Low,2.26,BANANA,Synthetic
Wheat,Sandy Loam,Flowering,Flood,Low,15.43,29.8,72.57,3.55,17.7,5.51,0.36,High,11.56,WHEAT,Synthetic
Potato,Clay,Vegetative,Sprinkler,Medium,36.38,33.18,59.3,8.46,100.24,4.52,0.68,Medium,7.35,POTATO,Synthetic
Maize,Loamy,Grain Filling,Sprinkler,Medium,21.31,41.3,59.98,1.3,121.91,5.6,0.86,High,10.27,MAIZE,Synthetic
Wheat,Loamy,Vegetative,Drip,Low,29.47,27.05,67.12,21.8,27.67,7.21,0.49,High,9.89,WHEAT,Synthetic
Soybean,Sandy,Grain Filling,Rainfed,Medium,30.78,33.56,56.67,11.99,47.15,3.89,1.75,Medium,5.51,SOYBEAN,Synthetic
Potato,Clay Loam,Vegetative,Rainfed,Medium,23.82,38.12,33.29,2.93,31.45,6.35,6.06,High,9.15,POTATO,Synthetic
Potato,Loamy,Grain Filling,Flood,Medium,51.77,18.5,33.94,15.41,49.75,6.64,7.07,Medium,8.13,POTATO,Synthetic
Soybean,Loamy,Vegetative,Drip,Medium,59.48,22.68,37.27,3.55,47.17,5.44,1.84,Medium,7.15,SOYBEAN,Synthetic
