State_Name,District_Name,Crop_Year,Season,Crop,Area,Log_Area,Yield_tonnes_per_hectare,Log_Yield,Crop_ID,Data_Type
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Rice,102.0,4.634728988229636,3.147058823529412,1.4223993657620069,RICE,Original
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Banana,176.0,5.176149732573829,3.642045454545455,1.535155099821851,BANANA,Original
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Rice,83.0,4.430816798843313,3.614457831325301,1.529194381384048,RICE,Original
Andaman and Nicobar Islands,NICOBARS,2002,Kharif,Rice,189.2,5.24807615011129,2.7,1.308332819650179,RICE,Original
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Banana,213.0,5.365976015021851,6.0,1.9459101490553128,BANANA,Original
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Sugarcane,5.0,1.791759469228055,8.0,2.19722457733622,SUGARCANE,Original
Andaman and Nicobar Islands,NICOBARS,2003,Kharif,Rice,52.0,3.970291913552122,1.7340384615384616,1.0057798060661791,RICE,Original
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Banana,266.0,5.58724865840025,6.62781954887218,2.031802031044116,BANANA,Original
Andaman and Nicobar Islands,NICOBARS,2004,Kharif,Rice,52.94,3.987872317711584,1.3707971288250849,0.8632262398733995,RICE,Original
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Banana,66.42,4.2109417098059145,6.084311954230653,1.9578827554036724,BANANA,Original
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year,Banana,22.0,3.1354942159291497,26.454545454545453,3.312531744576499,BANANA,Original
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Banana,198.0,5.293304824724492,4.929292929292929,1.7799049696935063,BANANA,Original
Andaman and Nicobar Islands,NICOBARS,2010,Autumn,Sugarcane,13.4,2.667228206581955,3.1156716417910446,1.4148020387426457,SUGARCANE,Original
Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,Banana,593.0,6.386879319362645,5.775716694772344,1.9133451463771545,BANANA,Original
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,Rice,10779.0,9.285447844462988,2.956025605343724,1.3752398862733215,RICE,Original
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Banana,1531.0,7.334329350300536,7.885695623775311,2.1844427504694024,BANANA,Original
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Sugarcane,141.0,4.955827057601261,26.49645390070922,3.314057047292761,SUGARCANE,Original
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,Rice,9718.0,9.181838011503473,2.781745215064828,1.330185600189279,RICE,Original
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Sugarcane,81.0,4.406719247264253,29.37037037037037,3.4134674742539697,SUGARCANE,Original
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif,Rice,6854.3,8.832777354714962,2.771343536174372,1.3274313136162723,RICE,Original
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Banana,957.57,6.865442590596338,8.962269076934323,2.298804864619016,BANANA,Original
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Sugarcane,71.3,4.280824129164719,21.03786816269285,3.092762253775836,SUGARCANE,Original
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn,Rice,6791.0,8.823500727991183,2.9624503018701223,1.3768625970099504,RICE,Original
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn,Sugarcane,73.33,4.308514638737202,12.126005727533071,2.574595432401662,SUGARCANE,Original
